ID,Dex,Time,Taker,Taker Address,Taker Amount,Taker Token,Maker,Maker Address,Maker Amount,Maker Token,Tx,Create TS
0,Uniswap,3h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"32,113",USDT,🏦 🤖 Uniswap v3 Pool: WETH-USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17,WETH,,2021-06-24 09:21:51
1,SushiSwap,5h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"7,049",SRM,🏦 🤖 Sushiswap Pool: SRM-WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10,WETH,,2021-06-24 09:21:51
2,Uniswap,5h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,6.56,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"10,661",MATIC,,2021-06-24 09:21:51
3,SushiSwap,5h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,6.3,WETH,🏦 🤖 Sushiswap Pool: COMP-WETH,0xc00e94cb662c3520282e6f5717214004a7f26888,52,COMP,,2021-06-24 09:21:51
4,Uniswap,6h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,13,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"22,236",MATIC,,2021-06-24 09:21:51
5,0x,7h ago,OpenSea User,0x79ec99e7e395088fd73ccb8321bf528cabebc37f,.2514,WETH,🤓 🤖 Wintermute,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,475,USDC,,2021-06-24 09:21:51
6,Uniswap,8h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,14,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"22,699",MATIC,,2021-06-24 09:21:51
7,Uniswap,9h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,18,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"30,526",MATIC,,2021-06-24 09:21:51
8,SushiSwap,10h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,7.58,WETH,🏦 🤖 Sushiswap Pool: SRM-WETH,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,"5,201",SRM,,2021-06-24 09:21:51
9,Uniswap,11h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,8.13,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"13,601",MATIC,,2021-06-24 09:21:51
10,0x,12h ago,Medium Dex Trader,0xe16397e5c926472b465e459741285a784bf19e0f,"1,891",DAI,🤓 🤖 Wintermute,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"1,891",USDC,,2021-06-24 09:21:51
