ID,Dex,Time,Taker,Taker Address,Taker Amount,Taker Token,Maker,Maker Address,Maker Amount,Maker Token,Tx,Create TS
0,Uniswap,50m ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.0497,0xf05…0391f,🏦 🤖 Uniswap v2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,367,USDC,,2021-06-24 09:21:19
1,Uniswap,56m ago,🤓 Flash Boy: 0x125,0x125377dbdb4ed6b49f57a569a3d9282f8e3f5366,.069,WETH,🏦 🤖 Uniswap v2 Pool: WETH-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,133,USDT,,2021-06-24 09:21:19
2,Uniswap,1h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.0377,0xf05…0391f,🏦 🤖 Uniswap v2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,395,USDC,,2021-06-24 09:21:19
3,Uniswap,1h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.4973,KBTC,🏦 🤖 Uniswap v2 Pool: WBTC-KBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.361,WBTC,,2021-06-24 09:21:19
4,Uniswap,1h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,420,0xbf1…179ef,🏦 🤖 Uniswap v2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.0755,WBTC,,2021-06-24 09:21:19
5,Uniswap,2h ago,🤓 Flash Boy: 0x439,0x439f9d50c2cfab041f8d4b9c8fc553088f88eadc,"1,500",UST,🏦 🤖 Uniswap v3 Pool: USDC-UST,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"1,500",USDC,,2021-06-24 09:21:19
6,Uniswap,3h ago,🤓 Flash Boy: 0x439,0x439f9d50c2cfab041f8d4b9c8fc553088f88eadc,"9,913",USDC,🏦 🤖 Uniswap v3 Pool: USDC-UST,0xa47c8bf37f92abed4a126bda807a7b7498661acd,"9,900",UST,,2021-06-24 09:21:19
7,Uniswap,3h ago,🤓 Flash Boy: 0xa0f,0xa0f75491720835b36edc92d06ddc468d201e9b73,1.77,WETH,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"3,392",USDC,,2021-06-24 09:21:19
8,Uniswap,4h ago,🤓 Flash Boy: 0x782,0x7822159ee394d14745cde63a706f965fb73c7ac8,.1,WETH,🏦 🤖 Uniswap v2,0xcf8335727b776d190f9d15a54e6b9b9348439eee,"22,367",0xcf8…39eee,,2021-06-24 09:21:19
9,Uniswap,5h ago,🤓 Flash Boy: 0xd6d,0xd6d7ea4833f22edbed3dbd3d71adf3cdd8e36a01,7.5,WETH,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"14,311",USDC,,2021-06-24 09:21:19
10,Uniswap,5h ago,🤓 Flash Boy: 0xe80,0xe80b7513372242ef7e0714884db68b21859b308f,.2,WETH,🏦 🤖 Uniswap v3 Pool: DAI-WETH,0x6b175474e89094c44da98b954eedeac495271d0f,381,DAI,,2021-06-24 09:21:19
11,Uniswap,7h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"192,158",FEI,,2021-06-24 09:21:19
12,Uniswap,7h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"192,560",FEI,,2021-06-24 09:21:19
13,Uniswap,7h ago,🤓 andreasengel.eth,0x781fea3353d6efbbabc9fac0b4725eff3c77dba7,.0349,WETH,🏦 🤖 Uniswap v3 Pool: CVX-WETH,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,20,CVX,,2021-06-24 09:21:19
14,Uniswap,7h ago,🤓 Flash Boy: 0xa0f,0xa0f75491720835b36edc92d06ddc468d201e9b73,25,0xfe2…a043a,🏦 🤖 Uniswap v3 Pool: rETH2-sETH2,0x20bc832ca081b91433ff6c17f85701b6e92486c5,25,0x20b…486c5,,2021-06-24 09:21:19
15,SushiSwap,8h ago,🤓 Flash Boy: 0xd25,0xd25e6eb12904d55f889f27fda234fd4b659046cc,8.28,WETH,🏦 🤖 Sushiswap Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"15,837",USDC,,2021-06-24 09:21:19
16,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"193,662",FEI,,2021-06-24 09:21:19
17,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"194,281",FEI,,2021-06-24 09:21:19
18,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"195,100",FEI,,2021-06-24 09:21:19
19,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"195,493",FEI,,2021-06-24 09:21:19
20,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"195,903",FEI,,2021-06-24 09:21:19
21,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"196,317",FEI,,2021-06-24 09:21:19
22,Uniswap,9h ago,🤓 Flash Boy: 0xd6d,0xd6d7ea4833f22edbed3dbd3d71adf3cdd8e36a01,.4,WETH,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,788,USDC,,2021-06-24 09:21:19
